geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
86000US11370,"11370",5050,638,51,54,355,171,325,126,614,327,806,322,355,170,302,176,570,243,1451,355,221,123
86000US11371,"11371",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11372,"11372",16088,1023,957,395,1184,329,1834,487,1723,327,1414,440,1218,365,884,266,1069,316,4836,647,969,365
86000US11373,"11373",23884,1040,788,223,1672,314,2327,422,2083,348,2508,581,2544,487,1541,336,2349,485,7283,877,789,345
86000US11374,"11374",11417,766,525,210,828,252,1231,315,1443,297,1080,378,934,258,568,283,1102,262,3149,504,557,166
86000US11375,"11375",16855,784,834,223,1753,372,2273,383,2006,425,1563,329,981,315,973,304,1350,310,4101,556,1021,272
86000US11377,"11377",23705,1186,1219,498,1653,348,2263,286,2722,492,2933,656,2655,539,2101,377,1928,345,5474,612,757,263
86000US11378,"11378",5753,471,243,112,314,130,730,191,529,187,562,141,502,161,363,130,563,168,1573,287,374,110
86000US11379,"11379",5626,530,222,103,467,152,661,223,548,159,589,185,413,176,242,113,439,157,1573,276,472,157
86000US11385,"11385",26193,1032,1263,272,2629,374,3151,347,3116,469,3022,501,2226,483,1493,322,2478,340,5525,648,1290,361
86000US11411,"11411",1016,210,85,59,107,86,33,31,88,66,61,44,134,61,58,65,70,52,314,107,66,45
86000US11412,"11412",3422,421,167,81,322,137,422,181,222,103,336,118,306,121,283,176,245,91,926,196,193,81
