geoid,name,B25034001,"B25034001, Error",B25034002,"B25034002, Error",B25034003,"B25034003, Error",B25034004,"B25034004, Error",B25034005,"B25034005, Error",B25034006,"B25034006, Error",B25034007,"B25034007, Error",B25034008,"B25034008, Error",B25034009,"B25034009, Error",B25034010,"B25034010, Error",B25034011,"B25034011, Error"
86000US11356,"11356",8923,525,120,118,421,162,620,234,513,324,994,279,473,218,1698,413,1329,373,434,154,2321,352
86000US11357,"11357",16643,764,8,12,353,141,648,228,320,114,773,295,1668,384,2690,378,5668,524,1540,355,2975,503
86000US11358,"11358",14028,678,27,36,585,211,704,180,629,208,493,139,786,206,1027,214,2944,339,1897,282,4936,470
86000US11359,"11359",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11360,"11360",9893,626,20,33,137,119,101,49,204,124,2225,331,1261,361,2833,434,2103,353,594,224,415,135
86000US11361,"11361",11893,576,87,60,487,145,572,159,341,112,525,179,720,217,1382,211,3451,432,1404,284,2924,501
86000US11362,"11362",7652,497,0,21,199,127,252,158,385,145,372,201,466,180,1507,323,3223,431,508,163,740,192
86000US11363,"11363",2970,253,0,19,69,60,123,81,56,41,37,34,276,97,668,258,272,102,172,91,1297,171
86000US11364,"11364",14553,647,21,34,251,141,347,234,251,134,843,243,612,187,2202,378,6177,480,2518,442,1331,237
86000US11365,"11365",16947,959,37,40,553,208,686,189,361,143,1064,447,830,272,1898,429,6137,689,4005,750,1376,350
86000US11366,"11366",4977,505,0,21,257,125,58,35,128,107,160,149,120,61,513,156,1498,410,1422,258,821,200
86000US11367,"11367",15305,604,72,70,367,150,579,192,250,132,778,267,1352,297,2269,505,5469,566,3139,420,1030,269
86000US11368,"11368",31358,970,59,73,1117,315,2097,322,982,395,1827,337,2947,572,6055,709,7021,683,2965,537,6288,708
86000US11369,"11369",13878,671,0,29,288,103,255,103,267,115,580,191,564,182,1348,298,3721,517,2552,458,4303,412
86000US11370,"11370",11718,607,14,24,111,97,149,84,561,260,635,234,583,202,2208,427,2714,400,2157,443,2586,439
86000US11371,"11371",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11372,"11372",26335,987,47,45,348,154,270,119,277,159,733,409,996,334,1649,380,6343,792,4650,699,11022,851
86000US11373,"11373",34996,1101,293,105,842,236,1478,329,932,270,1333,319,2567,520,5973,650,7518,741,6844,714,7216,764
86000US11374,"11374",21152,902,60,54,592,163,615,216,613,242,843,294,883,379,3683,468,6155,679,3797,576,3911,456
86000US11375,"11375",35673,984,52,63,319,139,600,214,527,149,846,252,2113,359,6609,634,8607,743,6608,627,9392,695
86000US11377,"11377",35254,1168,83,60,821,267,1489,303,1191,434,1281,287,2527,467,5232,675,5940,785,4469,563,12221,918
86000US11378,"11378",14492,665,18,23,326,143,414,127,223,94,604,201,1002,225,1452,266,2021,363,1772,254,6660,534
